"Freq"	"Normalized_Count"	"Log_Count"	"gene_name"
"ENSMUSG00000044783.16"	97	2204.37670248345	11.1068093896	"Hjurp"
"ENSMUSG00000097971.3"	39	1865.3702853591	10.8660195280086	"Gm26917"
"ENSMUSG00000101795.2"	24	266.362184883417	8.06265161803658	"Gm5835"
"ENSMUSG00000079429.9"	16	160.31830563516	7.33376634773883	"Mroh2a"
"ENSMUSG00000082454.3"	16	369.066099430941	8.531639170798	"Gm12183"
"ENSMUSG00000111594.1"	16	42.5845499343393	5.4457449068774	"Gm3365"
"ENSMUSG00000082536.1"	13	1814.43582367293	10.8261002158989	"Gm13456"
"ENSMUSG00000000751.13"	12	3101.99221580531	11.5994443623753	"Rpa1"
"ENSMUSG00000063696.7"	11	472.605005153648	8.88754051751564	"Gm8730"
"ENSMUSG00000029635.15"	10	715.587437131937	9.48499894090595	"Cdk8"
