"Freq"	"Normalized_Count"	"Log_Count"	"gene_name"
"ENSMUSG00000044783.16"	67	1802.6669931518	10.8167172864062	"Hjurp"
"ENSMUSG00000097971.3"	37	1894.50454479871	10.8883662002847	"Gm26917"
"ENSMUSG00000101795.2"	27	408.061698554845	8.67617465026678	"Gm5835"
"ENSMUSG00000082454.3"	18	490.43146137218	8.94084641156249	"Gm12183"
"ENSMUSG00000117822.1"	14	344.627513396667	8.43307425641096	"Eef1a1-ps1"
"ENSMUSG00000000751.13"	13	3801.31721507587	11.892663181069	"Rpa1"
"ENSMUSG00000094930.2"	13	184.621882176786	7.53622298346798	"Igkv6-25"
"ENSMUSG00000082536.1"	12	2055.45695490155	11.0059451587858	"Gm13456"
"ENSMUSG00000029635.15"	10	517.888048977958	9.01927949790271	"Cdk8"
"ENSMUSG00000063696.7"	10	551.025309881484	9.10859060461044	"Gm8730"
