"Freq"	"Normalized_Count"	"Log_Count"	"gene_name"
"ENSMUSG00000044783.16"	50	1575.84852396961	10.6228283625369	"Hjurp"
"ENSMUSG00000097971.3"	35	1919.41330918548	10.9072011242243	"Gm26917"
"ENSMUSG00000101795.2"	28	356.11509700458	8.48024531477474	"Gm5835"
"ENSMUSG00000082454.3"	19	399.256793778262	8.64478208037891	"Gm12183"
"ENSMUSG00000117822.1"	17	367.096619819699	8.52394069148869	"Eef1a1-ps1"
"ENSMUSG00000082536.1"	15	2294.35387387312	11.1645008752186	"Gm13456"
"ENSMUSG00000000751.13"	13	4042.76918493745	11.9814849363913	"Rpa1"
"ENSMUSG00000100078.1"	12	96.4805218756901	6.60704206964019	"Gm6170"
"ENSMUSG00000014496.8"	11	1089.52394215718	10.0908057289665	"Ankrd28"
"ENSMUSG00000043192.4"	11	110.599622637986	6.80218833863335	"Gm1840"
