"Freq"	"Normalized_Count"	"Log_Count"	"gene_name"
"ENSMUSG00000044783.16"	58	1870.04960299325	10.8696320907254	"Hjurp"
"ENSMUSG00000097971.3"	38	4122.57927340692	12.0096814274716	"Gm26917"
"ENSMUSG00000101795.2"	22	336.158951988879	8.39728509329421	"Gm5835"
"ENSMUSG00000082454.3"	17	408.94927623844	8.67930160329483	"Gm12183"
"ENSMUSG00000000751.13"	13	3725.54114113659	11.86362147181	"Rpa1"
"ENSMUSG00000082536.1"	13	2293.5569440816	11.1639998952583	"Gm13456"
"ENSMUSG00000082575.1"	13	153.521411144527	7.271662947722	"Gm13050"
"ENSMUSG00000096020.2"	12	374.539304775011	8.55282010107343	"Ighv1-75"
"ENSMUSG00000029635.15"	11	596.880658846396	9.22371373093257	"Cdk8"
"ENSMUSG00000063696.7"	11	764.960134840835	9.58112549737656	"Gm8730"
